PERIODO|LOCALIDAD|CANTIDAD
1802|ANTONIO NARINO|164
1802|BARRIOS UNIDOS|387
1802|BOSA|361
1802|CANDELARIA|61
1802|CHAPINERO|299
1802|CIUDAD BOLIVAR|381
1802|ENGATIVA|1325
1802|FONTIBON|581
1802|KENNEDY|781
1802|MARTIRES|176
1802|PUENTE ARANDA|477
1802|RAFAEL URIBE|481
1802|SAN CRISTOBAL|734
1802|SANTA FE|312
1802|SUBA|940
1802|TEUSAQUILLO|330
1802|TUNJUELITO|199
1802|USAQUEN|860
1802|USME|348
1803||7
1803|ANTONIO NARINO|181
1803|BARRIOS UNIDOS|530
1803|BOSA|656
1803|CANDELARIA|105
1803|CHAPINERO|460
1803|CIUDAD BOLIVAR|536
1803|ENGATIVA|1824
1803|FONTIBON|619
1803|KENNEDY|1662
1803|MARTIRES|257
1803|PUENTE ARANDA|753
1803|RAFAEL URIBE|715
1803|SAN CRISTOBAL|1192
1803|SANTA FE|405
1803|SUBA|2106
1803|TEUSAQUILLO|404
1803|TUNJUELITO|399
1803|USAQUEN|1407
1803|USME|504
1804||9
1804|ANTONIO NARINO|289
1804|BARRIOS UNIDOS|574
1804|BOSA|913
1804|CANDELARIA|88
1804|CHAPINERO|527
1804|CIUDAD BOLIVAR|637
1804|ENGATIVA|2415
1804|FONTIBON|1054
1804|KENNEDY|2076
1804|MARTIRES|274
1804|PUENTE ARANDA|866
1804|RAFAEL URIBE|836
1804|SAN CRISTOBAL|946
1804|SANTA FE|337
1804|SUBA|4443
1804|TEUSAQUILLO|484
1804|TUNJUELITO|368
1804|USAQUEN|1694
1804|USME|648
1805||10
1805|ANTONIO NARINO|366
1805|BARRIOS UNIDOS|874
1805|BOSA|980
1805|CANDELARIA|111
1805|CHAPINERO|732
1805|CIUDAD BOLIVAR|763
1805|ENGATIVA|2453
1805|FONTIBON|1505
1805|KENNEDY|2996
1805|MARTIRES|485
1805|PUENTE ARANDA|1002
1805|RAFAEL URIBE|882
1805|SAN CRISTOBAL|1085
1805|SANTA FE|472
1805|SUBA|8344
1805|TEUSAQUILLO|733
1805|TUNJUELITO|499
1805|USAQUEN|1636
1805|USME|600
1806||18
1806|ANTONIO NARINO|231
1806|BARRIOS UNIDOS|772
1806|BOSA|803
1806|CANDELARIA|71
1806|CHAPINERO|491
1806|CIUDAD BOLIVAR|626
1806|ENGATIVA|2022
1806|FONTIBON|1659
